"Series";"Time";"Value"
"Probe-1";"2020-05-04T15:29:58+02:00";50.925
"Probe-1";"2020-05-04T15:29:59+02:00";50.9375
"Probe-1";"2020-05-04T15:29:59+02:00";50.9375
"Probe-1";"2020-05-04T15:29:59+02:00";50.9375
"Probe-1";"2020-05-04T15:29:59+02:00";50.9375
"Probe-1";"2020-05-04T15:29:59+02:00";50.9375
"Probe-1";"2020-05-04T15:30:00+02:00";50.9375
"Probe-1";"2020-05-04T15:30:00+02:00";50.9375
"Probe-1";"2020-05-04T15:30:00+02:00";50.9375
"Probe-1";"2020-05-04T15:30:00+02:00";50.9375
"Probe-1";"2020-05-04T15:30:00+02:00";50.9375
"Probe-1";"2020-05-04T15:30:01+02:00";50.9375
"Probe-1";"2020-05-04T15:30:01+02:00";50.93125
"Probe-1";"2020-05-04T15:30:01+02:00";50.925
"Probe-1";"2020-05-04T15:30:01+02:00";50.91875
"Probe-1";"2020-05-04T15:30:01+02:00";50.9125
"Probe-1";"2020-05-04T15:30:02+02:00";50.90625
"Probe-1";"2020-05-04T15:30:02+02:00";50.9
"Probe-1";"2020-05-04T15:30:02+02:00";50.89375
"Probe-1";"2020-05-04T15:30:02+02:00";50.8875
"Probe-1";"2020-05-04T15:30:02+02:00";50.88125
"Probe-1";"2020-05-04T15:30:03+02:00";50.875
"Probe-1";"2020-05-04T15:30:03+02:00";50.875
"Probe-1";"2020-05-04T15:30:03+02:00";50.875
"Probe-1";"2020-05-04T15:30:03+02:00";50.875
"Probe-1";"2020-05-04T15:30:03+02:00";50.875
"Probe-1";"2020-05-04T15:30:04+02:00";50.875
"Probe-1";"2020-05-04T15:30:04+02:00";50.875
"Probe-1";"2020-05-04T15:30:04+02:00";50.875
"Probe-1";"2020-05-04T15:30:04+02:00";50.875
"Probe-1";"2020-05-04T15:30:04+02:00";50.875
"Probe-1";"2020-05-04T15:30:05+02:00";50.875
"Probe-1";"2020-05-04T15:30:05+02:00";50.60625
"Probe-1";"2020-05-04T15:30:05+02:00";50.3375
"Probe-1";"2020-05-04T15:30:05+02:00";50.06875
"Probe-1";"2020-05-04T15:30:05+02:00";49.8
"Probe-1";"2020-05-04T15:30:06+02:00";49.53125
"Probe-1";"2020-05-04T15:30:06+02:00";49.2625
"Probe-1";"2020-05-04T15:30:06+02:00";48.99375
"Probe-1";"2020-05-04T15:30:06+02:00";48.725
